"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Verf체gbar","Lieferr체ckst채nde","St체ckpreis","Gesamtpreis  EUR"
"1","25","1497-1257-1-ND","XZMDKCBDDG45S-9","LED RGB CLEAR 4PLCC SMD","","25","0","0,77280","19,32"
"2","10","DZ23C5V1-FDICT-ND","DZ23C5V1-7-F","DIODE ZENER ARRAY 5.1V SOT23-3","","10","0","0,29600","2,96"
"3","15","1528-2291-ND","3484","ADDRESS LED DISCRETE SERIAL RGB","","15","0","4,30000","64,50"
"4","10","P56KDACT-ND","ERA-6AEB563V","RES SMD 56K OHM 0.1% 1/8W 0805","","10","0","0,26200","2,62"
"5","5","RNCF0805DTE10K0CT-ND","RNCF0805DTE10K0","RES 10K OHM 0.5% 1/8W 0805","","5","0","0,15000","0,75"
"6","5","RR12P10.0KDCT-ND","RR1220P-103-D","RES SMD 10K OHM 0.5% 1/10W 0805","","5","0","0,10000","0,50"
"7","5","RR12P1.0KDCT-ND","RR1220P-102-D","RES SMD 1K OHM 0.5% 1/10W 0805","","5","0","0,10000","0,50"
"8","5","P20KDACT-ND","ERA-6AEB203V","RES SMD 20K OHM 0.1% 1/8W 0805","","5","0","0,31000","1,55"
"9","5","P100KDACT-ND","ERA-6AEB104V","RES SMD 100K OHM 0.1% 1/8W 0805","","5","0","0,31000","1,55"
"10","5","535-10289-1-ND","ABM8G-16.000MHZ-B4Y-T","CRYSTAL 16.0000MHZ 10PF SMD","","5","0","0,60000","3,00"
"11","2","706-1509-1-ND","IS31FL3733-QFLS4-TR","IC LED DRVR LINEAR 46MA 48QFN","","2","0","3,01000","6,02"
"12","5","ATMEGA32U4-AU-ND","ATMEGA32U4-AU","IC MCU 8BIT 32KB FLASH 44TQFP","","5","0","3,58000","17,90"
"13","5","SW424CT-ND","B3FS-1002P","SWITCH TACTILE SPST-NO 0.05A 24V","","5","0","0,56000","2,80"